State_UT,2019_Cases,2019_Deaths,2020_Cases,2020_Deaths,2021_Cases,2021_Deaths,2022_Cases,2022_Deaths,2023_Cases,2023_Deaths,2024_Cases,2024_Deaths,2025_Cases,2025_Deaths
Andaman & Nicobar,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,333,15,33,2,1,0,22,0,103,0,125,0,5,0
Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,57,2,4,0,0,0,63,0,2,0,28,3,0,0
Bihar,52,1,17,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,54,3,17,3,0,0,21,0,10,0,24,0,1,0
Chhattisgarh,169,28,10,1,6,1,399,4,35,9,622,43,1,0
Dadra & Nagar Haveli,7,3,1,0,0,0,0,0,0,0,13,0,0,0
Daman & Diu,9,1,0,0,0,0,0,0,0,0,3,0,0,0
Delhi,3627,31,412,0,92,0,442,0,209,0,3151,0,40,0
Goa,108,3,1,0,6,0,217,0,105,0,103,0,5,0
Gujarat,4844,151,55,2,33,2,2174,71,212,3,1711,55,14,0
Haryana,1041,16,44,0,6,0,103,12,30,4,307,26,3,0
Himachal Pradesh,335,41,31,1,0,0,8,1,19,1,68,3,4,1
Jammu & Kashmir,447,27,106,0,4,0,69,3,39,0,130,1,41,0
Jharkhand,80,5,2,0,0,0,34,0,1,0,18,1,1,0
Karnataka,2030,96,458,3,13,0,517,15,118,0,3530,10,76,1
Kerala,845,44,71,2,0,0,90,7,1025,57,2846,61,48,4
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,720,165,20,1,2,1,53,2,0,0,157,1,2,0
Maharashtra,2287,246,121,3,387,2,3714,215,1231,32,2072,71,21,0
Manipur,3,1,4,0,0,0,3,0,1,0,1,0,0,0
Meghalaya,2,0,1,0,1,0,2,0,4,0,28,0,0,0
Mizoram,0,0,0,0,0,0,0,0,17,0,120,0,0,0
Nagaland,0,0,0,0,0,0,0,0,0,0,20,0,0,0
Odisha,206,5,35,1,0,0,142,0,42,0,30,0,0,0
Puducherry,29,0,7,0,52,0,296,0,269,0,207,0,32,0
Punjab,541,31,68,5,3,0,203,42,93,4,356,48,4,0
Rajasthan,5092,208,116,1,20,1,365,11,127,0,1149,12,0,0
Sikkim,8,0,1,0,0,0,48,0,28,0,150,0,0,0
Tamil Nadu,1038,4,276,1,11,0,2827,25,3544,19,1777,4,209,0
Telangana,1388,22,446,5,9,0,343,0,165,0,104,0,3,0
Tripura,31,0,0,0,0,0,0,0,0,0,77,0,1,0
Uttarakhand,246,6,13,1,0,0,0,0,17,0,270,1,2,0
Uttar Pradesh,2096,37,252,12,24,1,388,2,123,0,205,5,0,0
West Bengal,1073,26,130,0,108,4,659,0,556,0,1012,2,3,0
Total,28798,1218,2752,44,778,12,13202,410,8125,129,20414,347,516,6